"","ID","DATE","DAY","MONTH","YEAR","TIME","LAT","LONG","ROWID","ICE_LAND","SEASON","ANGLE","DIST_KM","DIFF_DATE","KM_PER_DAY","KM_PER_HR","M_PER_HR","M_PER_S"
"637","X10700","1993-09-24",24,"September",1993,"17:57",66.567,-61.383,566,"land","summer",NA,0,5,0,0,0,0
"638","X10700","1993-09-19",19,"September",1993,"20:53",66.583,-61.417,562,"land","summer",-40.1751959624296,2.32742581719644,5,0.465485163439287,0.0193952151433036,19.3952151433036,0.00538755976202879
"639","X10700","1993-09-14",14,"September",1993,"20:02",66.633,-61.367,560,"land","summer",21.6311114608609,5.97786484222257,5,1.19557296844451,0.0498155403518547,49.8155403518547,0.0138376500977374
"640","X10700","1993-09-09",9,"September",1993,"21:08",66.6,-61.433,556,"land","summer",-141.528314932633,4.68175583279205,5,0.936351166558409,0.0390146319399337,39.0146319399337,0.0108373977610927
"641","X10700","1993-08-30",30,"August",1993,"18:03",66.567,-61.417,551,"land","summer",169.08630306542,3.734411921339,10,0.3734411921339,0.0155600496722458,15.5600496722458,0.00432223602006828
"642","X10700","1993-08-20",20,"August",1993,"20:01",66.433,-61.667,542,"ice","summer",-143.238473728878,18.5585242853628,10,1.85585242853628,0.0773271845223449,77.3271845223449,0.0214797734784291
"643","X10700","1993-08-15",15,"August",1993,"17:43",66.35,-61.567,537,"land","summer",154.196309501202,10.2404644148711,5,2.04809288297421,0.0853372034572589,85.3372034572589,0.0237047787381275
"644","X10700","1993-08-10",10,"August",1993,"21:54",65.817,-61.017,532,"ice","summer",157.047103585358,64.2000226552139,5,12.8400045310428,0.535000188793449,535.000188793449,0.148611163553736
"645","X10700","1993-07-31",31,"July",1993,"20:46",64.683,-59.65,520,"ice","summer",152.598584537752,141.140679169813,10,14.1140679169813,0.588086163207552,588.086163207552,0.163357267557653
"646","X10700","1993-07-11",11,"July",1993,"20:58",64.867,-61.25,496,"ice","break",-74.1760405144668,78.4780818297688,20,3.92390409148844,0.163496003812018,163.496003812018,0.0454155566144496
"647","X10700","1993-07-06",6,"July",1993,"19:08",64.333,-59.583,491,"ice","break",125.998005710552,99.1616656117349,5,19.832333122347,0.826347213431124,826.347213431124,0.229540892619757
"648","X10700","1993-06-26",26,"June",1993,"16:23",65.167,-58.7,480,"ice","break",23.9066934287949,101.684837782905,10,10.1684837782905,0.423686824095437,423.686824095437,0.117690784470955
"649","X10700","1993-06-21",21,"June",1993,"20:30",65.9,-59.033,472,"ice","break",-10.5043055376402,82.8798533951642,5,16.5759706790328,0.690665444959701,690.665444959701,0.191851512488806
"650","X10700","1993-06-16",16,"June",1993,"16:29",65.517,-59.733,463,"ice","break",-142.742261053615,53.2457727847334,5,10.6491545569467,0.443714773206112,443.714773206112,0.123254103668364
"651","X10700","1993-06-11",11,"June",1993,"16:44",64.933,-59.667,454,"ice","break",177.258576416474,64.9668045838949,5,12.993360916779,0.541390038199124,541.390038199124,0.150386121721979
"652","X10700","1993-06-01",1,"June",1993,"19:33",64.083,-62,441,"ice","break",-129.192062299945,146.168950664909,10,14.6168950664909,0.609037294437119,609.037294437119,0.169177026232533
"653","X10700","1993-05-27",27,"May",1993,"20:24",63.4,-62.817,434,"ice","break",-151.744331320986,85.866278123229,5,17.1732556246458,0.715552317693575,715.552317693575,0.19876453269266
"654","X10700","1993-05-22",22,"May",1993,"19:51",62.417,-64.55,427,"land","break",-140.465792924635,140.070522713877,5,28.0141045427755,1.16725435594898,1167.25435594898,0.324237321096938
"655","X10700","1993-05-17",17,"May",1993,"19:13",62.233,-64,418,"ice","break",125.521285996073,34.9825031305539,5,6.99650062611079,0.291520859421283,291.520859421283,0.0809780165059119
"656","X10700","1993-05-12",12,"May",1993,"21:57",62.067,-62.567,410,"ice","break",103.292458466695,76.6390768380665,5,15.3278153676133,0.638658973650554,638.658973650554,0.177405270458487
"657","X10700","1993-05-07",7,"May",1993,"21:17",62.7,-61.183,402,"ice","break",44.7729294530666,100.144701160831,5,20.0289402321663,0.834539176340262,834.539176340262,0.231816437872295
"658","X10700","1993-05-02",2,"May",1993,"17:15",63.633,-61.683,395,"ice","winter",-13.3761659461274,106.664478869965,5,21.332895773993,0.888870657249709,888.870657249709,0.246908515902697
"659","X10700","1993-04-27",27,"April",1993,"16:12",64.117,-62.733,389,"ice","winter",-43.2188135829366,74.3756696314018,5,14.8751339262804,0.619797246928348,619.797246928348,0.172165901924541
"660","X10700","1993-04-22",22,"April",1993,"17:34",64.4,-63.467,379,"ice","winter",-48.0728850996173,47.367460699814,5,9.4734921399628,0.394728839165117,394.728839165117,0.109646899768088
"661","X10700","1993-04-17",17,"April",1993,"19:45",64,-64.3,371,"land","winter",-137.436274314421,59.9874535357109,5,11.9974907071422,0.499895446130924,499.895446130924,0.138859846147479
"662","X10700","1993-04-12",12,"April",1993,"17:55",63.95,-64.7,364,"land","winter",-105.72202833822,20.2781020395601,5,4.05562040791203,0.168984183663001,168.984183663001,0.0469400510175003
"663","X10700","1993-04-07",7,"April",1993,"21:34",63.85,-64.9,358,"ice","winter",-138.566316188266,14.8010113357633,5,2.96020226715266,0.123341761131361,123.341761131361,0.0342616003142669
"664","X10700","1993-04-02",2,"April",1993,"18:15",63.85,-65.117,348,"land","winter",-89.9026056777587,10.6271584732637,5,2.12543169465273,0.0885596539438639,88.5596539438639,0.0245999038732955
"665","X10700","1993-03-28",28,"March",1993,"19:17",63.85,-65.183,340,"land","winter",-89.9703777699704,3.2322247271703,5,0.646444945434059,0.0269352060597525,26.9352060597525,0.00748200168326458
"666","X10700","1993-03-23",23,"March",1993,"22:01",63.817,-65.033,335,"land","winter",116.446709132796,8.21419984647282,5,1.64283996929456,0.0684516653872735,68.4516653872735,0.0190143514964649
"667","X10700","1993-03-18",18,"March",1993,"19:39",63.867,-65.117,329,"land","winter",-36.4868677848506,6.91387071584211,5,1.38277414316842,0.0576155892986842,57.6155892986842,0.0160043303607456
"668","X10700","1993-03-03",3,"March",1993,"19:21",63.867,-65.233,316,"land","winter",-89.9479291022179,5.6774459943079,15,0.378496399620527,0.0157706833175219,15.7706833175219,0.00438074536597832
"669","X10700","1993-02-06",6,"February",1993,"19:19",63.85,-65.183,296,"land","freeze",127.634686269912,3.09204795122312,25,0.123681918048925,0.00515341325203854,5.15341325203854,0.00143150368112182
"670","X13284","1993-12-30",30,"December",1993,".",66.317,-59.577,663,"ice","freeze",-6.38753720641267,71.0131786754867,4,17.7532946688717,0.739720611202986,739.720611202986,0.205477947556385
"671","X13284","1993-12-26",26,"December",1993,".",66.538,-60.313,657,"ice","freeze",-52.7620531754949,40.8991344968944,4,10.2247836242236,0.426032651009316,426.032651009316,0.118342403058143
"672","X13284","1993-08-20",20,"August",1993,".",66.176,-59.754,541,"ice","summer",147.974594120955,47.3138106252921,128,0.369639145510095,0.0154016310629206,15.4016310629206,0.00427823085081128
"673","X13284","1993-08-04",4,"August",1993,".",64.529,-60.31,527,"ice","summer",-171.733309010174,184.817529246416,16,11.551095577901,0.48129564907921,481.29564907921,0.133693235855336
"674","X13284","1993-07-31",31,"July",1993,".",64.228,-60.095,519,"ice","summer",162.738454112233,35.0062135553942,4,8.75155338884855,0.364648057868689,364.648057868689,0.101291127185747
"675","X13284","1993-07-15",15,"July",1993,".",64.966,-58.441,503,"ice","break",43.1286538873518,113.753376195426,16,7.10958601221409,0.296232750508921,296.232750508921,0.0822868751413668
"676","X13284","1993-07-11",11,"July",1993,".",65.875,-57.407,497,"ice","break",24.8520724243523,111.740625714956,4,27.935156428739,1.16396485119746,1163.96485119746,0.323323569777072
"677","X13284","1993-07-07",7,"July",1993,".",65.987,-56.629,493,"ice","break",70.2029947416335,37.3897679229945,4,9.34744198074862,0.389476749197859,389.476749197859,0.108187985888294
"678","X13284","1993-06-25",25,"June",1993,".",65.622,-58.264,479,"ice","break",-117.82927787555,84.7882005265889,12,7.06568337721574,0.294403474050656,294.403474050656,0.0817787427918489
"679","X13284","1993-06-21",21,"June",1993,".",65.523,-58.762,471,"ice","break",-115.44739070062,25.3912006728819,4,6.34780016822049,0.264491673675854,264.491673675854,0.0734699093544038
"680","X13284","1993-06-17",17,"June",1993,".",65.222,-59.67,465,"ice","break",-128.088868766811,53.7256052278592,4,13.4314013069648,0.559641721123533,559.641721123533,0.155456033645426
"681","X13284","1993-06-13",13,"June",1993,".",65.516,-59.798,462,"ice","break",-10.2263769412119,33.202722133541,4,8.30068053338525,0.345861688891052,345.861688891052,0.0960726913586256
"682","X13284","1993-06-09",9,"June",1993,".",65.666,-59.538,453,"ice","break",35.4955331504485,20.5028197823945,4,5.12570494559862,0.213571039399943,213.571039399943,0.0593252887222063
"683","X13284","1993-06-05",5,"June",1993,".",65.6,-58.769,446,"ice","break",101.400777830913,36.0099615645864,4,9.00249039114659,0.375103766297775,375.103766297775,0.104195490638271
"684","X13284","1993-06-01",1,"June",1993,".",65.361,-59.837,442,"ice","break",-117.848400277867,55.9540373491538,4,13.9885093372885,0.582854555720352,582.854555720353,0.161904043255653
"685","X13284","1993-05-28",28,"May",1993,".",65.432,-59.365,436,"ice","break",69.9205710763655,23.2177571207253,4,5.80443928018132,0.241851636674222,241.851636674222,0.0671810101872838
"686","X13284","1993-05-20",20,"May",1993,".",65.269,-59.997,426,"ice","break",-121.444941773803,34.4373742733986,8,4.30467178417483,0.179361324340618,179.361324340618,0.049822590094616
"687","X13284","1993-05-16",16,"May",1993,".",64.893,-59.319,417,"ice","break",142.466412969084,52.4712394499107,4,13.1178098624777,0.54657541093657,546.57541093657,0.151826503037936
"688","X13284","1993-05-12",12,"May",1993,".",63.861,-58.382,411,"ice","break",158.13994427288,123.195381419775,4,30.7988453549438,1.28328522312266,1283.28522312266,0.356468117534072
"689","X13284","1993-05-04",4,"May",1993,".",63.917,-59.57,399,"ice","break",-83.3534897306622,58.4308007400168,8,7.30385009250209,0.304327087187587,304.327087187587,0.084535301996552
"690","X13284","1993-04-30",30,"April",1993,".",64.342,-59.285,393,"ice","winter",16.1815086215678,49.2060308937187,4,12.3015077234297,0.51256282180957,512.56282180957,0.14237856161377
"691","X13284","1993-04-26",26,"April",1993,".",64.421,-57.432,388,"ice","winter",83.5337355785929,89.457230838012,4,22.364307709503,0.931846154562625,931.846154562625,0.258846154045174
"692","X13284","1993-04-22",22,"April",1993,".",64.436,-57.68,380,"ice","winter",-81.9114299317293,12.0111577042457,4,3.00278942606142,0.125116226085893,125.116226085893,0.0347545072460813
"693","X13284","1993-04-18",18,"April",1993,".",64.495,-57.069,373,"ice","winter",77.097757300124,29.9913682353205,4,7.49784205883011,0.312410085784588,312.410085784588,0.0867805793846078
"694","X13284","1993-04-14",14,"April",1993,".",63.815,-57.168,369,"ice","winter",-176.323881783563,75.7136079586489,4,18.9284019896622,0.788683416235926,788.683416235926,0.219078726732202
"695","X13284","1993-04-10",10,"April",1993,".",62.597,-55.239,363,"ice","winter",143.611873714576,166.28106622643,4,41.5702665566075,1.73209443985864,1732.09443985864,0.481137344405179
"696","X13284","1993-04-06",6,"April",1993,".",61.418,-54.906,356,"ice","winter",172.301365520622,132.156171666112,4,33.039042916528,1.37662678818867,1376.62678818867,0.382396330052407
"697","X13284","1993-04-02",2,"April",1993,".",61.215,-52.73,347,"ice","winter",100.043449634897,118.221529075875,4,29.5553822689687,1.23147426120703,1231.47426120703,0.34207618366862
"698","X13284","1993-03-29",29,"March",1993,".",61.755,-52.415,341,"ice","winter",15.4229833456966,62.287837322741,4,15.5719593306852,0.648831638778552,648.831638778552,0.18023101077182
"699","X13284","1993-03-25",25,"March",1993,".",62.308,-53.717,337,"ice","winter",-47.2612020841181,91.5388326842536,4,22.8847081710634,0.953529507127641,953.529507127641,0.264869307535456
"700","X13284","1993-03-21",21,"March",1993,".",63.036,-53.973,334,"ice","winter",-9.05684358107692,81.9425384767313,4,20.4856346191828,0.853568109132618,853.568109132618,0.237102252536838
"701","X13284","1993-03-17",17,"March",1993,".",63.695,-56.369,328,"ice","winter",-57.40277754575,140.016372496077,4,35.0040931240194,1.45850388016747,1458.50388016747,0.405139966713187
"702","X13284","1993-03-13",13,"March",1993,".",64.058,-58.879,322,"ice","winter",-70.6928434714152,129.251287539571,4,32.3128218848928,1.3463675785372,1346.3675785372,0.373990994038111
"703","X13284","1993-03-05",5,"March",1993,".",64.793,-60.336,318,"ice","winter",-39.8992843883126,107.489689835919,8,13.4362112294899,0.559842134562079,559.842134562079,0.155511704045022
"704","X13284","1993-03-01",1,"March",1993,".",64.69,-58.59,313,"ice","winter",97.0811386614005,83.5716523396515,4,20.8929130849129,0.870538045204703,870.538045204703,0.241816123667973
"705","X13284","1993-02-25",25,"February",1993,".",63.941,-56.885,311,"ice","winter",134.615476333678,116.910749101776,4,29.2276872754441,1.2178203031435,1217.8203031435,0.338283417539862
"706","X13284","1993-02-21",21,"February",1993,".",63.035,-56.15,307,"ice","freeze",159.763662537669,107.070947231859,4,26.7677368079647,1.11532236699853,1115.32236699853,0.309811768610703
"707","X13284","1993-02-17",17,"February",1993,".",61.868,-54.466,304,"ice","freeze",145.532145541876,155.893398331061,4,38.9733495827654,1.62388956594856,1623.88956594856,0.45108043498571
"708","X13284","1993-02-13",13,"February",1993,".",60.561,-51.826,302,"ice","freeze",134.631846535369,202.571628556403,4,50.6429071391008,2.11012113079586,2110.12113079586,0.586144758554407
"709","X13284","1993-02-09",9,"February",1993,".",61.103,-53.936,299,"ice","freeze",-61.2897923624736,129.162511281781,4,32.2906278204452,1.34544282585188,1345.44282585188,0.373734118292189
"710","X13284","1993-02-05",5,"February",1993,".",61.135,-54.722,293,"ice","freeze",-84.8377552485567,42.3340203699434,4,10.5835050924859,0.440979378853577,440.979378853577,0.122494271903772
"711","X13284","1993-01-24",24,"January",1993,".",60.803,-57.338,287,"ice","freeze",-103.509612454529,145.799901884273,12,12.1499918236895,0.506249659320394,506.249659320394,0.140624905366776
"712","X13284","1993-01-20",20,"January",1993,".",60.934,-57.441,286,"ice","freeze",-20.900044689762,15.5866188757086,4,3.89665471892716,0.162360613288632,162.360613288632,0.0451001703579532
"713","X13284","1993-01-16",16,"January",1993,".",61.89,-56.494,284,"ice","freeze",24.9460736661898,117.557489403969,4,29.3893723509922,1.22455718129134,1224.55718129134,0.340154772580928
"714","X13284","1993-01-12",12,"January",1993,".",62.184,-55.985,281,"ice","freeze",38.845301210354,42.0788391577469,4,10.5197097894367,0.43832124122653,438.32124122653,0.121755900340703
"715","X13284","1993-01-08",8,"January",1993,".",62.195,-56.481,280,"ice","freeze",-87.0591524373605,25.743048355563,4,6.43576208889076,0.268156753703782,268.156753703782,0.0744879871399393
"716","X13284","1993-01-04",4,"January",1993,".",62.005,-57.06,277,"ice","freeze",-124.785296395259,36.7709039024568,4,9.19272597561419,0.383030248983925,383.030248983925,0.106397291384423
