,ID,DATE,DAY,MONTH,YEAR,TIME,LAT,LONG,ROWID,testDate,Season
144,X10700,6-11-92,11,June,1992,18:54,64.2,-60.433,151,1992-06-11,break
145,X10695,6-12-92,12,June,1992,14:41,63.317,-74.9,152,1992-06-12,break
146,X10703,6-12-92,12,June,1992,18:44,64.517,-60.2,153,1992-06-12,break
147,X10707,6-13-92,13,June,1992,14:21,61.933,-64.267,154,1992-06-13,break
148,X10709,6-13-92,13,June,1992,11:54,64.217,-79.633,155,1992-06-13,break
149,X10695,6-16-92,16,June,1992,13:17,63.567,-76.383,156,1992-06-16,break
150,X10700,6-16-92,16,June,1992,19:53,64.95,-59.417,157,1992-06-16,break
151,X10703,6-17-92,17,June,1992,14:36,65.2,-60.15,158,1992-06-17,break
152,X10707,6-18-92,18,June,1992,14:16,62.5,-63.217,159,1992-06-18,break
153,X10709,6-18-92,18,June,1992,17:33,65.333,-77.883,160,1992-06-18,break
154,X10700,6-21-92,21,June,1992,19:46,65.517,-58.367,161,1992-06-21,break
155,X10703,6-22-92,22,June,1992,16:09,65.583,-60.65,162,1992-06-22,break
156,X10709,6-23-92,23,June,1992,17:27,66.45,-75.567,163,1992-06-23,break
157,X10695,6-24-92,24,June,1992,13:02,64.683,-79.7,164,1992-06-24,break
158,X10700,6-26-92,26,June,1992,19:39,66.517,-58.833,165,1992-06-26,break
159,X10703,6-27-92,27,June,1992,14:23,65.817,-62.05,166,1992-06-27,break
160,X10707,6-28-92,28,June,1992,15:40,64.083,-61.217,167,1992-06-28,break
161,X10695,6-28-92,28,June,1992,12:21,65.517,-81.433,168,1992-06-28,break
162,X10700,7-01-92,1,July,1992,20:00,66.833,-57.683,169,1992-07-01,break
163,X10703,7-02-92,2,July,1992,19:11,64.983,-60.55,170,1992-07-02,break
164,X10709,7-03-92,3,July,1992,12:16,63.867,-73.417,171,1992-07-03,break
165,X10707,7-03-92,3,July,1992,15:34,64.667,-61.8,172,1992-07-03,break
166,X10703,7-07-92,7,July,1992,15:24,64.4,-61.4,173,1992-07-07,break
167,X10695,7-10-92,10,July,1992,11:32,66.05,-78.183,174,1992-07-10,break
168,X10703,7-12-92,12,July,1992,12:23,64.8,-63.667,175,1992-07-12,break
169,X10707,7-13-92,13,July,1992,13:41,65.233,-61.533,176,1992-07-13,break
170,X10695,7-14-92,14,July,1992,10:42,66.15,-79.9,177,1992-07-14,break
171,X10703,7-17-92,17,July,1992,16:42,63.467,-61.25,178,1992-07-17,break
172,X10709,7-18-92,18,July,1992,16:30,62.433,-71.167,179,1992-07-18,break
173,X10707,7-18-92,18,July,1992,16:33,65.55,-60.65,180,1992-07-18,break
174,X10695,7-18-92,18,July,1992,11:35,66.65,-81.267,181,1992-07-18,break
175,X10703,7-22-92,22,July,1992,19:04,63.567,-62.417,182,1992-07-22,break
176,X10695,7-22-92,22,July,1992,15:31,66.317,-82.683,183,1992-07-22,break
177,X10707,7-23-92,23,July,1992,15:12,65.383,-60.75,184,1992-07-23,break
178,X10695,7-26-92,26,July,1992,14:10,65.967,-83.25,185,1992-07-26,break
179,X10700,7-26-92,26,July,1992,20:40,66.133,-57.483,186,1992-07-26,break
180,X10703,8-01-92,1,August,1992,18:46,63.767,-61.683,187,1992-08-01,summer
181,X10709,8-02-92,2,August,1992,16:54,61.917,-65.333,188,1992-08-02,summer
182,X10707,8-02-92,2,August,1992,14:58,64.417,-62.75,189,1992-08-02,summer
183,X10695,8-03-92,3,August,1992,11:46,65.967,-78.45,190,1992-08-03,summer
184,X10707,8-07-92,7,August,1992,15:55,64.2,-61.65,191,1992-08-07,summer
185,X10695,8-07-92,7,August,1992,11:00,65.667,-79,192,1992-08-07,summer
186,X10700,8-10-92,10,August,1992,22:00,63.367,-61.583,193,1992-08-10,summer
187,X10703,8-11-92,11,August,1992,15:07,63.533,-63.767,194,1992-08-11,summer
188,X10695,8-11-92,11,August,1992,13:30,64.667,-81,195,1992-08-11,summer
189,X10709,8-12-92,12,August,1992,14:45,62.867,-64.25,196,1992-08-12,summer
190,X10695,8-15-92,15,August,1992,11:03,64.133,-79.633,197,1992-08-15,summer
191,X10695,8-19-92,19,August,1992,12:16,64.183,-79.233,198,1992-08-19,summer
192,X10709,8-22-92,22,August,1992,16:12,64.017,-65.45,199,1992-08-22,summer
193,X10707,8-22-92,22,August,1992,11:15,64.967,-61.967,200,1992-08-22,summer
194,X10695,8-23-92,23,August,1992,12:32,64.033,-79.2,201,1992-08-23,summer
195,X10695,8-27-92,27,August,1992,14:25,63.883,-78.283,202,1992-08-27,summer
196,X10709,8-27-92,27,August,1992,13:36,64.367,-65.417,203,1992-08-27,summer
197,X10707,8-27-92,27,August,1992,16:56,64.717,-61.5,204,1992-08-27,summer
198,X10707,9-01-92,1,September,1992,17:36,64.7,-62.383,209,1992-09-01,summer
199,X10700,9-04-92,4,September,1992,19:50,63.767,-64.617,210,1992-09-04,summer
200,X10709,9-06-92,6,September,1992,12:30,64.617,-65.65,211,1992-09-06,summer
201,X10707,9-06-92,6,September,1992,13:17,64.917,-61.95,213,1992-09-06,summer
202,X10703,9-15-92,15,September,1992,12:40,64.167,-65.117,215,1992-09-15,summer
203,X10703,9-25-92,25,September,1992,15:46,64.15,-65.417,216,1992-09-25,summer
204,X10703,9-25-92,25,September,1992,16:10,64.167,-65.417,217,1992-09-25,summer
205,X13284,10-01-92,1,October,1992,.,66.462,-62.1,218,1992-10-01,summer
206,X13292,10-03-92,3,October,1992,.,65.124,-63.444,219,1992-10-03,summer
207,X13289,10-03-92,3,October,1992,.,65.143,-63.448,220,1992-10-03,summer
208,X13284,10-08-92,8,October,1992,.,66.445,-62.185,221,1992-10-08,summer
209,X13292,10-09-92,9,October,1992,.,65.113,-63.441,222,1992-10-09,summer
210,X13289,10-09-92,9,October,1992,.,65.177,-63.411,223,1992-10-09,summer
211,X13289,10-15-92,15,October,1992,.,65.214,-63.41,224,1992-10-15,summer
212,X10707,10-16-92,16,October,1992,16:57,65.233,-63.817,225,1992-10-16,summer
213,X13284,10-16-92,16,October,1992,.,66.472,-62.063,226,1992-10-16,summer
214,X13292,10-21-92,21,October,1992,.,65.122,-63.437,227,1992-10-21,summer
215,X10707,10-21-92,21,October,1992,11:01,65.183,-63.8,228,1992-10-21,summer
216,X13289,10-21-92,21,October,1992,.,65.436,-63.505,229,1992-10-21,summer
217,X13284,10-24-92,24,October,1992,.,66.472,-62.077,230,1992-10-24,summer
218,X10707,10-26-92,26,October,1992,14:57,65.2,-63.55,231,1992-10-26,summer
219,X13292,10-27-92,27,October,1992,.,65.119,-63.392,232,1992-10-27,summer
220,X13289,10-27-92,27,October,1992,.,65.201,-63.427,233,1992-10-27,summer
221,X10707,10-31-92,31,October,1992,14:00,65.167,-63.617,234,1992-10-31,summer
222,X13284,11-01-92,1,November,1992,.,66.457,-62.138,235,1992-11-01,summer
223,X13292,11-02-92,2,November,1992,.,65.142,-63.429,236,1992-11-02,summer
224,X13289,11-02-92,2,November,1992,.,65.295,-63.127,237,1992-11-02,summer
225,X13284,11-05-92,5,November,1992,.,66.471,-62.032,238,1992-11-05,summer
226,X13292,11-08-92,8,November,1992,.,65.228,-63.359,239,1992-11-08,summer
227,X13289,11-08-92,8,November,1992,.,65.838,-62.172,240,1992-11-08,summer
228,X13284,11-09-92,9,November,1992,.,66.412,-61.964,241,1992-11-09,summer
229,X13284,11-13-92,13,November,1992,.,66.082,-61.277,242,1992-11-13,summer
230,X13292,11-14-92,14,November,1992,.,65.22,-63.356,243,1992-11-14,summer
231,X13289,11-14-92,14,November,1992,.,65.351,-62.358,244,1992-11-14,summer
232,X10707,11-15-92,15,November,1992,12:41,65.067,-63.117,245,1992-11-15,summer
233,X13284,11-17-92,17,November,1992,.,65.163,-61.123,246,1992-11-17,summer
234,X13289,11-20-92,20,November,1992,.,64.92,-62.455,247,1992-11-20,freeze
235,X13284,11-21-92,21,November,1992,.,64.805,-62.189,248,1992-11-21,freeze
236,X10707,11-25-92,25,November,1992,17:19,62.383,-61.067,249,1992-11-25,freeze
237,X13284,11-25-92,25,November,1992,.,64.685,-61.941,250,1992-11-25,freeze
238,X13289,11-26-92,26,November,1992,.,64.605,-59.286,251,1992-11-26,freeze
239,X13292,11-26-92,26,November,1992,.,64.866,-60.456,252,1992-11-26,freeze
240,X13284,11-29-92,29,November,1992,.,64.459,-59.81,253,1992-11-29,freeze
241,X10707,11-30-92,30,November,1992,17:57,62.05,-61.15,254,1992-11-30,freeze
242,X13292,12-02-92,2,December,1992,.,63.042,-60.489,255,1992-12-02,freeze
243,X13289,12-02-92,2,December,1992,.,63.232,-61.316,256,1992-12-02,freeze
244,X13284,12-03-92,3,December,1992,.,64.027,-59.894,257,1992-12-03,freeze
245,X10707,12-05-92,5,December,1992,16:54,61.8,-60.367,258,1992-12-05,freeze
246,X13284,12-07-92,7,December,1992,.,63.918,-59.685,259,1992-12-07,freeze
247,X13292,12-08-92,8,December,1992,.,62.202,-61.506,260,1992-12-08,freeze
248,X13289,12-08-92,8,December,1992,.,62.321,-62.181,261,1992-12-08,freeze
249,X10707,12-10-92,10,December,1992,12:05,62.05,-63.75,262,1992-12-10,freeze
250,X13284,12-11-92,11,December,1992,.,63.48,-58.794,263,1992-12-11,freeze
251,X13289,12-14-92,14,December,1992,.,62.069,-61.434,264,1992-12-14,freeze
252,X13292,12-14-92,14,December,1992,.,62.129,-60.823,265,1992-12-14,freeze
