"","ROWID_2","ID","ROWID","DATE","DAY","MONTH","YEAR","TIME","SEASON","LONG","LAT","USED_AVAIL","ZONE","EASTING","NORTHING","ANGLE","DIST_KM","DIFF_DATE","KM_PER_DAY","KM_PER_HR","M_PER_HR","M_PER_S","date_char","distance","lon","lat"
"distance...71",23429,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.4109074549978,58.7069437730889,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",245541.510171683,-57.3005388789981,59.3112032949558
"distance...72",23430,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.4057145489366,58.4311056026856,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",253698.923305263,-57.1237382477894,58.8909592797079
"distance...73",23431,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.4003900134729,58.1006352255145,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",263199.176234706,-57.0372023203657,58.681043405113
"distance...74",23432,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.3928154179056,58.3946121491073,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",253945.670634935,-57.1237382477894,58.8909592797079
"distance...75",23433,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.3881166487695,57.9730786255871,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",266487.64355097,-56.9518751300248,58.4712685866026
"distance...76",23434,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.3876774356292,58.7061730551685,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",244284.947201763,-57.3005388789981,59.3112032949558
"distance...77",23435,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.3338620832998,58.6418891659226,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",243210.646782257,-57.211508376476,59.1010134977355
"distance...78",23436,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.2839977814447,57.7903659431107,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",266131.807977683,-56.8677318975661,58.2616374867023
"distance...79",23437,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.266150165714,57.500523095003,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",274316.598473008,-56.8677318975661,58.2616374867023
"distance...80",23438,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.2101023711773,57.7661051714358,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",262494.107208384,-56.8677318975661,58.2616374867023
"distance...81",23439,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.1692385329406,58.3736806807882,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",241909.637727497,-57.1237382477894,58.8909592797079
"distance...82",23440,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.1588813493062,58.7399118491633,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",230514.38695414,-57.3005388789981,59.3112032949558
"distance...83",23441,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.1308836013024,58.6288515433087,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",232147.147408224,-57.211508376476,59.1010134977355
"distance...84",23442,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.1282869124832,58.0894889635269,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",248174.005119003,-57.0372023203657,58.681043405113
"distance...85",23443,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.1259784917325,58.2219098387333,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",244104.991725007,-57.0372023203657,58.681043405113
"distance...86",23444,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.1076889212552,57.6162275102195,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",261181.658120044,-56.8677318975661,58.2616374867023
"distance...87",23445,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.0948635823211,58.3792153320231,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",237551.760728004,-57.1237382477894,58.8909592797079
"distance...88",23446,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.0873118827056,57.9537112303934,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",249787.31715704,-56.9518751300248,58.4712685866026
"distance...89",23447,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.0496031196389,57.8262780171572,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",251654.01748371,-56.8677318975661,58.2616374867023
"distance...90",23448,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.0351731839438,58.65261172784,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",226101.720704105,-57.211508376476,59.1010134977355
"distance...91",23449,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-61.0152397081574,57.7520270406759,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",251646.373712647,-56.8677318975661,58.2616374867023
"distance...92",23450,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-60.9956399447151,57.9966255728909,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",243328.603052072,-56.9518751300248,58.4712685866026
"distance...93",23451,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-60.9940563827669,58.6489669672178,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",223892.341043035,-57.211508376476,59.1010134977355
"distance...94",23452,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-60.9786715331536,58.3864992779359,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",230787.618182127,-57.1237382477894,58.8909592797079
"distance...95",23453,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-60.9724125325559,57.7714540562186,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",248633.939674342,-56.8677318975661,58.2616374867023
"distance...96",23454,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-60.9596396398454,58.2943216233654,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",232719.626091438,-57.1237382477894,58.8909592797079
"distance...97",23455,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-60.9545340420531,58.0047049433011,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",240751.413622841,-56.9518751300248,58.4712685866026
"distance...98",23456,"X11974",794,"1994-04-04",4,"April",1994,"10:47","winter",-60.9535914038641,57.8289170109307,"available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19940404",246028.532507281,-56.8677318975661,58.2616374867023
